370599
73	72	76
48	67	76
95	92	95
95	95	96
33	59	79
47	58	74
98	95	97
91	94	97
95	84	90
93	83	90
70	70	78
85	79	91
33	67	76
47	73	90
95	87	95
84	86	95
43	63	75
95	92	100
54	80	87
72	76	90
47	66	69
33	55	56
70	68	82
50	58	73
86	90	94
35	53	56
95	89	95
74	77	82
69	65	84
94	94	95
95	86	88
95	86	94
68	68	62
69	74	82
85	79	80
57	67	57
95	95	95
97	94	94
69	86	89
90	81	95
66	73	85
61	76	84
66	76	86
95	93	95
95	93	95
43	69	74
95	93	99
81	73	89
73	70	79
95	95	97
94	83	80
51	77	81
91	82	90
58	75	84
85	82	87
73	75	83
53	61	79
56	70	80
97	95	95
49	59	75
90	76	93
95	96	98
70	83	87
56	78	87
58	54	68
97	90	94
95	76	99
58	61	69
61	76	85
83	93	90
58	74	83
46	57	74
83	78	87
60	75	88
64	78	86
59	65	72
50	73	84
46	75	81
59	66	75
95	90	91
76	58	72
78	68	75
67	65	68
94	72	67
88	95	90
65	60	72
69	72	76
36	48	52
48	61	60
78	68	66
59	63	66
55	73	70
92	80	71
95	84	94
72	79	90
90	63	74
46	54	63
43	78	80
70	60	66
46	61	59
74	72	73
53	65	74
95	88	91
46	55	72
52	71	72
46	63	62
73	70	78
95	78	84
72	78	85
59	64	82
58	63	75
69	92	89
37	49	53
90	73	81
89	89	90
73	69	82
65	74	84
83	81	93
90	90	89
81	94	96
46	83	85
68	86	89
53	61	71
76	73	86
44	74	64
83	87	88
52	76	76
92	87	88
49	76	77
77	73	86
83	80	72
33	30	48
78	73	85
33	55	64
60	60	76
53	65	79
48	54	59
63	71	91
100	95	99
95	80	94
33	53	55
36	49	60
14	51	56
33	31	55
44	58	78
95	80	94
95	85	96
43	55	60
56	56	62
54	49	74
92	74	78
14	50	51
50	67	82
35	48	57
98	95	95
82	91	95
79	54	70
69	55	63
47	56	75
82	73	88
82	69	84
43	58	64
45	61	68
81	78	79
88	90	93
43	53	59
95	95	95
51	70	66
67	84	91
85	95	95
68	72	82
67	78	79
33	65	86
95	85	76
44	56	71
44	55	73
75	80	71
73	68	67
45	59	76
80	77	73
92	95	91
81	94	99
88	85	86
35	59	79
59	83	93
95	76	83
95	90	97
33	51	63
85	89	95
67	89	93
52	57	84
33	49	57
83	88	97
44	68	76
95	94	98
95	96	96
68	86	80
86	92	95
55	78	86
65	86	93
87	91	94
76	86	94
88	86	91
95	97	96
81	91	95
85	90	95
47	77	84
74	82	90
85	80	89
95	88	95
95	87	86
73	80	79
33	69	66
49	53	67
70	62	68
64	90	85
86	85	92
96	96	95
33	74	71
97	95	94
69	77	90
63	63	59
43	67	64
60	71	72
95	95	96
67	86	90
44	59	58
81	95	95
62	84	84
95	95	95
33	60	55
43	74	88
49	73	72
52	84	90
46	58	65
47	54	63
84	91	89
74	88	98
85	95	82
82	86	93
76	95	99
44	74	84
66	84	89
51	80	29
93	72	82
83	90	95
95	95	96
57	73	77
98	97	98
95	93	94
95	89	94
94	95	91
79	87	94
100	99	100
90	88	94
48	68	74
86	80	93
66	82	86
74	78	95
95	95	96
76	83	91
95	91	99
86	95	94
56	81	84
75	80	90
70	81	78
95	85	92
95	93	92
79	81	86
46	75	86
89	92	87
75	85	85
95	91	95
95	90	95
95	95	92
64	83	93
96	98	100
79	85	91
81	91	91
84	92	91
50	51	71
95	95	99
95	98	96
99	97	99
55	72	72
96	96	100
80	90	86
45	80	75
95	89	93
95	95	96
94	95	92
96	95	93
63	64	68
70	62	89
94	86	84
78	89	83
82	86	78
92	87	86
64	78	78
72	82	90
91	91	93
58	66	69
80	69	74
99	95	97
95	84	95
88	85	95
95	95	92
59	72	70
70	68	62
95	96	97
90	83	95
90	82	85
76	91	86
52	76	70
85	76	87
95	94	95
95	93	95
95	89	88
80	78	90
92	93	95
100	95	98
99	95	96
91	82	90
99	95	95
95	76	85
93	95	94
90	88	96
95	94	93
95	95	95
63	68	77
99	92	97
83	84	90
49	56	53
95	90	96
82	77	92
95	79	93
95	91	93
78	73	88
73	77	76
92	92	93
97	85	97
63	65	79
99	92	94
95	90	93
77	56	64
74	72	82
43	59	66
92	92	93
83	63	78
95	73	81
94	84	93
95	93	92
99	95	98
92	73	86
57	50	47
86	86	94
97	95	99
62	78	93
95	89	94
83	75	89
83	81	72
33	54	50
7	47	55
33	47	53
43	59	65
33	33	56
33	46	50
43	55	57
43	60	57
33	48	41
43	53	53
80	51	64
12	46	61
33	54	58
64	30	30
46	57	64
82	81	81
57	56	59
73	63	75
43	57	62
80	60	80
67	58	71
59	57	64
52	65	67
44	54	63
36	54	65
95	85	84
96	95	94
12	28	29
87	93	93
89	82	90
33	50	50
33	34	46
52	57	65
67	81	81
68	79	85
35	52	60
80	82	85
43	56	58
98	93	94
36	57	72
64	84	94
71	70	77
61	71	71
72	72	82
33	59	62
48	84	81
